ticket_id,created_at,resolved_at,status,priority,category,channel,sla_target_hours,customer_id,agent_id,branch_code
T00148,2024-03-16 11:56:00,2024-03-17 09:45:07,Resolved,Medium,Delivery,Phone,48,C13689,A032,AM-CAB
T00149,2025-08-11 22:37:00,2025-08-12 10:21:49,Resolved,Low,Delivery,Chat,72,C10605,A035,LA-ASU
T00150,2024-07-29 03:44:00,2024-07-29 22:42:55,Resolved,Low,Tech Issue,Chat,72,C10481,A035,LA-ASU
T00151,2025-06-29 21:33:00,2025-06-30 03:41:10,Resolved,High,Payments,Chat,24,C13879,A033,CÓ-RÍO
T00152,2025-08-03 00:01:00,2025-08-04 06:59:40,Resolved,Low,Payments,Chat,72,C10027,A017,LA-SAN
T00153,2025-02-26 09:32:00,2025-02-26 19:13:48,Resolved,Low,Login,Email,72,C13932,A007,AM-GBA
T00154,2024-10-28 09:46:00,2024-10-28 23:00:54,Resolved,Medium,Payments,App,48,C13754,A022,LA-MON
T00155,2024-08-11 17:45:00,2024-08-12 02:00:39,Resolved,Medium,Payments,Email,48,C10501,A037,AM-GBA
T00156,2025-05-04 16:37:00,2025-05-05 00:52:54,Resolved,Low,Delivery,Chat,72,C10395,A020,SA-RAF
T00157,2024-12-13 00:45:00,2024-12-13 14:51:30,Resolved,Medium,Payments,Email,48,C14467,A029,LA-ASU
T00158,2025-06-26 05:52:00,2025-06-26 10:25:45,Resolved,Medium,Tech Issue,Chat,48,C12511,A039,TU-YER
T00159,2025-01-04 02:25:00,2025-01-04 14:38:54,Resolved,Low,Login,Chat,72,C12515,A054,LA-MON
T00160,2024-04-28 00:04:00,2024-04-28 19:00:00,Resolved,Low,Delivery,Email,72,C14099,A050,ME-MEN
T00161,2024-01-25 21:21:00,2024-01-26 02:37:11,Resolved,Urgent,Payments,Phone,8,C11908,A028,SA-SAN
T00162,2024-08-15 03:56:00,2024-08-15 16:05:54,Resolved,Medium,Tech Issue,Email,48,C14085,A029,LA-ASU
T00163,2024-08-23 16:23:00,2024-08-24 07:30:05,Resolved,Medium,Returns,Email,48,C14172,A017,LA-SAN
T00164,2024-04-05 11:31:00,2024-04-07 13:42:46,Resolved,Low,Account,Chat,72,C12398,A018,TU-YER
T00165,2025-03-11 12:47:00,2025-03-12 06:04:25,Resolved,Medium,Delivery,Chat,48,C12059,A014,LA-MON
T00166,2024-07-28 05:56:00,2024-07-28 20:38:26,Resolved,Medium,Delivery,Chat,48,C14810,A009,ME-MEN
T00167,2024-10-31 11:49:00,2024-10-31 16:51:51,Resolved,High,Tech Issue,Chat,24,C11835,A040,AM-CAB
T00168,2025-07-27 07:34:00,2025-07-27 15:47:28,Resolved,Urgent,Payments,Email,8,C12225,A048,CÓ-CÓR
T00169,2025-02-15 17:36:00,2025-02-16 10:08:17,Resolved,Medium,Returns,Chat,48,C10832,A019,ME-SAN
T00170,2024-09-03 04:43:00,2024-09-03 16:28:47,Resolved,Medium,Account,App,48,C11870,A045,LA-ASU
T00171,2025-07-08 20:57:00,2025-07-09 10:05:50,Resolved,Medium,Payments,Chat,48,C11045,A004,ME-SAN
T00172,2024-06-27 11:14:00,2024-06-27 13:29:02,Resolved,High,Returns,Phone,24,C14391,A035,LA-ASU
T00173,2024-10-18 18:28:00,,Open,Urgent,Other,Phone,8,C12482,A024,SA-ROS
T00174,2025-02-26 12:12:00,2025-02-27 16:25:10,Resolved,Low,Account,Email,72,C12854,A027,LA-MON
T00175,2024-05-02 01:11:00,2024-05-02 04:10:25,Resolved,Medium,Login,Chat,48,C10620,A039,TU-YER
T00176,2024-07-24 09:08:00,2024-07-24 20:05:35,Resolved,Medium,Payments,Email,48,C13988,A046,SA-RAF
T00177,2025-05-25 11:02:00,2025-05-25 20:53:32,Resolved,Medium,Tech Issue,Email,48,C13785,A060,AM-GBA
T00178,2025-02-14 10:42:00,,Open,Medium,Payments,Email,48,C10537,A057,LA-MON
T00179,2024-11-06 18:55:00,,Open,High,Account,Chat,24,C11659,A020,SA-RAF
T00180,2025-01-21 04:46:00,2025-01-21 15:18:05,Resolved,High,Returns,Phone,24,C13466,A021,LA-LIM
T00181,2024-12-01 07:14:00,,Open,Low,Other,Phone,72,C11804,A036,SA-RAF
T00182,2024-01-11 01:57:00,,Open,Medium,Delivery,Email,48,C10482,A058,AM-CAB
T00183,2025-01-17 17:44:00,2025-01-18 03:14:16,Resolved,Medium,Delivery,Chat,48,C12826,A047,AM-GBA
T00184,2024-02-01 19:58:00,2024-02-02 12:58:03,Resolved,Medium,Payments,Chat,48,C14493,A052,SA-ROS
T00185,2025-09-24 12:30:00,2025-09-25 12:29:15,Resolved,Low,Login,Email,72,C14204,A020,SA-RAF
T00186,2024-04-06 00:41:00,2024-04-06 15:44:39,Resolved,Low,Tech Issue,Chat,72,C14876,A059,SA-SAN
T00187,2024-12-25 04:58:00,2024-12-25 19:40:33,Resolved,High,Tech Issue,Phone,24,C12660,A057,LA-MON
T00188,2024-11-24 12:44:00,2024-11-24 20:36:22,Resolved,High,Returns,Email,24,C14271,A015,AM-GBA
T00189,2024-09-12 01:06:00,2024-09-13 12:21:41,Resolved,Low,Tech Issue,Chat,72,C11653,A015,AM-GBA
T00190,2024-09-21 02:25:00,2024-09-21 16:26:24,Resolved,Low,Payments,Chat,72,C14389,A018,TU-YER
T00191,2025-08-17 22:17:00,2025-08-19 02:06:18,Resolved,Low,Other,Chat,72,C12807,A056,AM-GBA
T00192,2024-11-01 03:47:00,2024-11-02 06:32:04,Resolved,Low,Payments,Email,72,C13461,A032,AM-CAB
T00193,2024-06-21 18:22:00,2024-06-22 03:29:31,Resolved,Low,Account,Email,72,C14947,A020,SA-RAF
T00194,2024-03-01 20:35:00,2024-03-02 23:35:21,Resolved,High,Delivery,Chat,24,C12603,A009,ME-MEN
T00195,2025-06-18 21:14:00,2025-06-19 12:14:45,Resolved,Medium,Login,Email,48,C10751,A016,LA-ASU
T00196,2025-05-01 07:16:00,2025-05-03 00:16:56,Resolved,Medium,Account,Chat,48,C10523,A034,TU-SAN
T00197,2024-12-07 09:48:00,2024-12-08 01:29:25,Resolved,Medium,Account,Chat,48,C13658,A025,CÓ-RÍO
T00198,2025-02-26 12:56:00,2025-02-26 20:06:08,Resolved,High,Payments,Phone,24,C11340,A051,TU-YER
T00199,2024-01-01 00:16:00,2024-01-01 02:53:42,Resolved,High,Delivery,Email,24,C13288,A017,LA-SAN
T00200,2024-03-12 16:10:00,2024-03-12 23:14:48,Resolved,High,Login,Email,24,C10861,A006,AM-CAB
T00201,2024-08-15 05:06:00,2024-08-15 16:38:13,Resolved,Medium,Other,Chat,48,C12357,A023,AM-GBA
T00202,2024-09-29 22:31:00,2024-09-30 17:17:04,Resolved,Low,Delivery,Email,72,C10543,A032,AM-CAB
T00203,2024-03-25 22:43:00,2024-03-27 03:21:19,Resolved,Low,Tech Issue,App,72,C11098,A037,AM-GBA
T00204,2024-03-13 12:01:00,2024-03-13 17:44:10,Resolved,Medium,Delivery,Email,48,C11693,A043,ME-MEN
T00205,2024-08-25 06:50:00,2024-08-26 12:55:14,Resolved,Low,Delivery,Chat,72,C13056,A030,CÓ-CÓR
T00206,2025-02-27 04:10:00,2025-02-27 11:14:57,Resolved,Low,Account,Email,72,C10833,A041,ME-SAN
T00207,2025-05-18 06:58:00,2025-05-18 18:46:32,Resolved,Medium,Payments,Email,48,C10159,A001,SA-ROS
T00208,2024-02-16 23:14:00,2024-02-17 20:39:23,Resolved,Medium,Payments,Chat,48,C10682,A010,ME-SAN
T00209,2024-10-23 05:33:00,2024-10-24 13:10:15,Resolved,Low,Tech Issue,Email,72,C12122,A060,AM-GBA
T00210,2024-08-23 19:49:00,2024-08-23 23:50:23,Resolved,Urgent,Payments,Email,8,C13957,A023,AM-GBA
T00211,2024-03-08 06:01:00,2024-03-08 19:28:57,Resolved,Medium,Payments,Phone,48,C11427,A036,SA-RAF
T00212,2024-09-12 03:58:00,,Open,High,Account,Email,24,C13951,A031,LA-MON
T00213,2025-05-11 05:19:00,2025-05-12 01:31:51,Resolved,High,Payments,App,24,C12802,A011,SA-RAF
T00214,2024-06-24 10:44:00,2024-06-24 22:49:08,Resolved,Low,Account,Chat,72,C11914,A010,ME-SAN
T00215,2025-06-11 01:18:00,,Open,Low,Login,Chat,72,C11044,A060,AM-GBA
T00216,2025-01-08 18:10:00,2025-01-09 20:04:09,Resolved,Low,Payments,Phone,72,C13664,A043,ME-MEN
T00217,2025-04-15 03:06:00,2025-04-15 20:34:07,Resolved,Medium,Payments,Email,48,C10724,A011,SA-RAF
T00218,2025-06-23 16:57:00,2025-06-24 12:40:57,Resolved,Low,Delivery,Phone,72,C13862,A033,CÓ-RÍO
T00219,2024-05-14 09:45:00,2024-05-14 19:20:11,Resolved,High,Login,Email,24,C14958,A051,TU-YER
T00220,2024-03-28 06:33:00,2024-03-29 00:06:20,Resolved,Medium,Delivery,Email,48,C14422,A035,LA-ASU
T00221,2024-05-29 15:46:00,,Open,Low,Delivery,Phone,72,C13781,A054,LA-MON
T00222,2025-01-23 05:01:00,2025-01-24 18:03:25,Resolved,Low,Payments,Email,72,C13630,A036,SA-RAF
T00223,2025-06-15 09:03:00,2025-06-15 17:02:07,Resolved,Medium,Other,Email,48,C12056,A030,CÓ-CÓR
T00224,2024-06-10 02:01:00,2024-06-10 17:52:22,Resolved,Medium,Payments,Chat,48,C14186,A039,TU-YER
T00225,2025-04-29 17:03:00,2025-04-30 06:25:05,Resolved,Low,Delivery,Chat,72,C14074,A055,ME-GOD
T00226,2025-05-29 20:14:00,2025-05-30 00:45:41,Resolved,High,Login,Chat,24,C10205,A035,LA-ASU
T00227,2024-08-01 08:57:00,2024-08-01 18:26:23,Resolved,Low,Delivery,Chat,72,C10969,A055,ME-GOD
T00228,2025-02-03 21:04:00,2025-02-04 10:34:28,Resolved,High,Login,App,24,C12577,A036,SA-RAF
